visita_id,client_id,variation,primer_paso,ultimo_paso,confirm,duracion_total_seg,duracion_total_min,tasa_error_visita,edad,genero,años_cliente_vg,num_cuentas,saldo_total
909883593_40305533895_384575,4432653,Test,start,step_1,0,432.0,7.2,0.0,75,F,24,2,61652.64
909914734_15120198488_425001,8215625,Test,start,start,0,45.0,0.75,0.0,54,M,7,2,122444.0
909926982_84070185975_451570,1488142,Control,start,step_3,0,1123.0,18.72,0.14285714285714285,22,M,15,3,46542.44
909968946_59629682092_528736,4721244,Test,start,confirm,1,329.0,5.48,0.0,36,M,14,2,33500.18
909976088_70098786204_59254,3645123,Test,start,step_1,0,130.0,2.17,0.0,29,F,14,2,136513.94
9099878_62663362787_675490,5138453,Test,start,confirm,1,973.0,16.22,0.16666666666666666,26,F,14,2,92308.4
909990586_32817827136_803711,9012353,Test,start,start,0,409.0,6.82,0.25,52,F,12,2,97752.85
910005610_38635942186_354206,6039880,Control,start,step_1,0,52.0,0.87,0.0,34,M,14,3,104755.54
910077221_40583213649_847566,5222638,Test,start,step_1,0,540.0,9.0,0.25,54,M,14,2,31711.55
910084911_1735599770_900656,8001712,Test,start,confirm,1,282.0,4.7,0.16666666666666666,48,M,13,2,46948.78
910112418_61801251796_631488,4962273,Control,start,confirm,1,504.0,8.4,0.16666666666666666,50,F,13,2,208940.09000000003
910120410_53163944178_411827,256199,Control,start,start,0,628.0,10.47,0.0,56,F,13,3,719371.26
910129395_45742394022_93301,8858672,Control,start,confirm,1,1332.0,22.2,0.0,32,F,11,3,149087.51
910139471_24887888251_773722,9194819,Control,start,start,0,2.0,0.03,0.0,62,M,27,2,36219.64
910140727_78450217031_80653,7559241,Test,start,confirm,1,198.0,3.3,0.0,28,F,10,2,59339.18
910153926_21354085279_443886,4473990,Control,start,confirm,1,733.0,12.22,0.0,54,M,12,2,34992.24
910213691_38680200030_927089,3966226,Control,start,confirm,1,335.0,5.58,0.0,64,F,8,3,137542.47999999998
910228227_7708173048_952658,9066578,Control,start,step_2,0,269.0,4.48,0.0,53,F,12,2,55612.94
91023043_37634097399_58373,3864477,Control,start,step_1,0,57.0,0.95,0.0,80,M,28,5,3476006.84
910241669_42527386300_789280,5315941,Test,start,confirm,1,137.0,2.28,0.0,30,F,9,2,27834.26
910251883_89688169990_670564,5510647,Control,start,start,0,0.0,0.0,0.0,31,F,9,2,26120.09
910261400_10149364542_877941,7547652,Test,start,confirm,1,657.0,10.95,0.0,30,M,13,2,87047.26999999999
910262697_78308814045_469528,1974610,Test,start,confirm,1,149.0,2.48,0.14285714285714285,22,F,20,3,56721.84
91027394_96989223730_165806,6708409,Test,start,step_1,0,135.0,2.25,0.0,57,F,22,3,160144.07
910288487_38425793901_873263,6170523,Control,start,start,0,0.0,0.0,0.0,54,F,14,4,187082.78
910305722_84309769882_901199,3930361,Test,start,confirm,1,86.0,1.43,0.0,35,M,18,2,75775.72
910343578_58345653970_393873,3313138,Test,start,start,0,0.0,0.0,0.0,40,M,9,2,58976.16
910389942_10232505614_274225,1742730,Test,start,confirm,1,216.0,3.6,0.0,74,M,9,2,27355.49
91043112_80659199835_115405,6866990,Test,start,step_3,0,455.0,7.58,0.1,68,M,12,2,619832.65
910464630_62710776542_174786,7755452,Control,start,start,0,27.0,0.45,0.5,32,F,11,3,95115.55
910537654_30511950625_715125,118723,Control,start,start,0,1778.0,29.63,0.3333333333333333,74,F,29,3,450736.36
910614664_27702365293_698212,5127519,Test,start,confirm,1,95.0,1.58,0.0,28,M,15,3,129655.61
910656161_84039699823_732730,3613404,Control,start,step_2,0,31.0,0.52,0.0,34,M,30,3,201282.43
910675703_22333182041_272184,8940713,Control,start,confirm,1,379.0,6.32,0.0,46,M,12,2,69944.93
910692726_75636887389_523222,1810988,Test,start,confirm,1,224.0,3.73,0.16666666666666666,30,M,16,2,26550.12
910699286_528990558_628248,5164844,Test,start,step_1,0,82.0,1.37,0.0,62,F,11,2,117640.19
910701566_52010196569_672266,902499,Control,start,start,0,0.0,0.0,0.0,29,M,16,2,27776.24
910741229_14125714623_829294,3841048,Control,start,start,0,0.0,0.0,0.0,66,M,14,2,66865.15
910746300_47493228491_451095,482558,Test,start,confirm,1,422.0,7.03,0.0,76,M,11,2,81172.98
910758761_60605060087_283369,4396526,Control,start,confirm,1,170.0,2.83,0.0,43,M,16,2,39518.64
910771770_32246581528_537170,604991,Test,start,start,0,272.0,4.53,0.0,31,M,14,3,56824.87
910773480_8052496111_339773,3389527,Control,start,confirm,1,363.0,6.05,0.0,30,M,10,3,82811.51
910791457_53618066615_232986,3212406,Control,start,start,0,381.0,6.35,0.25,53,M,21,3,162875.27000000002
910800662_89654546177_894764,7339107,Test,start,confirm,1,158.0,2.63,0.0,58,M,26,2,35861.22
9108350_5552874378_446642,4026139,Control,start,step_1,0,19.0,0.32,0.0,66,F,24,2,59133.14
910838252_53988256858_173624,9552811,Test,start,confirm,1,231.0,3.85,0.0,48,F,27,3,197928.42
910861517_28334762867_932304,2107624,Test,start,step_1,0,191.0,3.18,0.2,69,F,14,2,33801.8
910882418_62757937043_362196,5276993,Test,start,confirm,1,318.0,5.3,0.0,58,F,16,2,25593.31
910905398_52530007182_583892,3160757,Test,start,confirm,1,108.0,1.8,0.0,28,M,9,2,27990.49
910906518_43209314144_144652,5360482,Control,start,confirm,1,88.0,1.47,0.0,26,M,12,2,38119.9
910917152_1561392058_309722,2041796,Test,start,confirm,1,98.0,1.63,0.0,53,F,16,2,38283.57
910917480_12864121311_748581,2948485,Test,start,confirm,1,133.0,2.22,0.0,64,M,26,2,143242.9
910925556_593077311_128110,318831,Test,start,step_3,0,597.0,9.95,0.3333333333333333,65,F,10,2,65693.7
910942105_76840187656_417234,8365988,Test,start,confirm,1,137.0,2.28,0.0,32,F,12,2,76309.62
910985353_68083377421_571715,6768346,Test,start,start,0,2572.0,42.87,0.1111111111111111,76,M,15,2,147554.09999999998
